-45, -25, 2.56129
-44.5195, -24.3081, 2.5078
-43.5868, -23.039, 2.5078
-42.654, -21.7699, 2.5078
-41.7213, -20.5008, 2.5078
-40.7886, -19.2317, 2.5078
-39.8559, -17.9626, 2.5078
-38.9232, -16.6935, 2.5078
-37.9904, -15.4243, 2.5078
-37.0577, -14.1552, 2.5078
-36.125, -12.8861, 2.5078
-35.1923, -11.617, 2.5078
-34.2595, -10.3479, 2.5078
-33.3268, -9.07876, 2.5078
-32.3941, -7.80965, 2.5078
-31.4614, -6.54053, 2.5078
-30.5287, -5.27141, 2.5078
-29.5959, -4.0023, 2.5078
-28.6632, -2.73318, 2.5078
-27.7305, -1.46407, 2.5078
-26.7978, -0.194952, 2.5078
-25.865, 1.07416, 2.5078
-24.9323, 2.34328, 2.5078
-23.9996, 3.61239, 2.5078
-23.0669, 4.88151, 2.5078
-22.1342, 6.15063, 2.5078
-21.2014, 7.41974, 2.5078
-20.2687, 8.68886, 2.5078
-19.336, 9.95797, 2.5078
-18.4033, 11.2271, 2.5078
-17.4705, 12.4962, 2.5078
-16.4588, 13.8728, 2.5078
-15.5911, 15.1864, 2.6078
-14.8588, 16.58, 2.7078
-14.2693, 18.0399, 2.8078
-13.8285, 19.5512, 2.9078
-13.5408, 21.0991, 3.0078
-13.4, 23.2, 3.14159
